name,smiles
CHEMBL29255,O=C(O)CNC/C=C/CP(=O)(O)O
CHEMBL297948,CCC(CP(=O)(O)C(C)N)C(=O)O
CHEMBL276766,O=C(O)CCNC(=O)c1ccccc1O
CHEMBL8441,COc1ccc(C(=O)NCC(=O)O)cc1
CHEMBL282647,O=C(O)CCNc1ccc(C(=O)O)cc1
CHEMBL299683,CC(N)(C(=O)O)c1ccc(C(=O)O)cc1
CHEMBL287851,O=C(O)C1NCCc2cc(O)c(O)cc21
CHEMBL46746,CCOC(=O)c1ncn2c1NC(=O)CC2
CHEMBL73257,COC(=O)N(C)CC#CCN1CCCC1
CHEMBL29587,NC(CCCCP(=O)(O)O)C(=O)O
CHEMBL310906,CC(=O)OC/C(C)=C1\CN(C(C)=O)C1=O
CHEMBL73514,CC(=O)OC/C(C)=C1/CN(C(C)=O)C1=O
METHYLDOPA (RACEMIC),CC(N)(Cc1ccc(O)c(O)c1)C(=O)O
CHEMBL45171,CC(C)(C)c1nc(CC(N)C(=O)O)c[nH]1
CHEMBL69955,CC(CN)CCC(C(=O)O)c1c[nH]cn1
CHEMBL25915,NC(CS)Cc1ccc(C(=O)O)cc1
CHEMBL283227,NC(CS)Cc1cccc(C(=O)O)c1
CHEMBL11908,O=C(O)c1cc2c3ccccc3nc-2c[nH]1
CHEMBL34382,C/C(=N\NCCC1CCCCC1)C(=O)O
CHEMBL290943,C=C(C)C1CNC(C(=O)O)C1CC(=O)O
FENAMIC ACID,O=C(O)c1ccccc1Nc1ccccc1
CHEMBL288717,CC(=O)OC1COC2(CCN(C)CC2)C1
4-CHLOROHIPPURIC ACID,O=C(O)CNC(=O)c1ccc(Cl)cc1
BACLOFEN,NCC(CC(=O)O)c1ccc(Cl)cc1
CHEMBL294882,CC(c1ccc(C(=O)O)o1)N(O)C(N)=O
CHEMBL12442,Cc1onc(C(=O)O)c1CC(N)C(=O)O
CHEMBL41117,Cc1nc(COC(N)=O)n(C)c1[N+](=O)[O-]
CHEMBL19690,Cc1ccc(OC(=O)c2cnccn2)cc1
CHEMBL66518,COC(=O)CNC(=O)NC1CCCCC1
CHEMBL304297,O=C(O)CCNC(=O)NC1CCCCC1
CHEMBL302840,O=C(O)CCC(=O)N1CCCC1C(=O)O
CHEMBL37054,O=C(O)CNS(=O)(=O)c1ccccc1
CHEMBL33352,O=C(O)C(Cc1ccccc1)c1c[nH]cn1
CHEMBL77436,CN(C)c1ccc(/C=C(\C#N)C(=O)O)cc1
CHEMBL24467,CC(=O)Oc1ccc(Nn2cccc2)cc1
CHEMBL441433,O=C(O)c1cccc(N2C(=O)C=CC2=O)c1
CHEMBL74713,O=C(O)c1cc(C(=O)O)c2ccccc2n1
CHEMBL64455,Cc1cc(=O)n(CC(=O)O)c2ccccc12
CHEMBL278340,CCc1ccc2nc(C(=O)O)cc(O)c2c1
CHEMBL416006,Cc1cc(C)c2c(O)cc(C(=O)O)nc2c1
CHEMBL285628,O=C1NC(=O)C2(CCCc3ccccc32)O1
CHEMBL9143,C#CCN(C)/N=N/c1ccc(C(=O)O)cc1
CHEMBL27686,CC(CS)C(=O)N1CCCC1C(=O)O
CHEMBL26376,NC(CS)CC1CCC(C(=O)O)CC1
CHEMBL27519,NC(CS)CC1CCCC(C(=O)O)C1
CHEMBL67000,CC(C)C(C(=O)NO)C(=O)NCC(=O)O
CHEMBL6781,CCOC(=O)c1cc2ccccn2c(=O)n1
CHEMBL25636,O=C(O)c1cccn1Nc1ccc(O)cc1
CHEMBL274076,O=C(O)c1cn2c(n1)sc1ccccc12
MEPROBAMATE,CCCC(C)(COC(N)=O)COC(N)=O
CHEMBL443001,O=C(O)CCCCc1cccc2cncn12
CHEMBL23754,O=C(O)Cc1c(C(=O)O)[nH]c2ccccc12
CHEMBL20890,COC(=O)Nc1ccc(-c2ncon2)cc1
CHEMBL64582,COC(=O)c1ccc2c(c1)C(=O)C(=O)N2C
CHEMBL21358,COc1ccc2nc(C(=O)O)cc(O)c2c1
CHEMBL300231,O=C(O)C1=C(Nc2ccccc2)OCC1=O
CHEMBL293377,CC1C=C(c2ccc([N+](=O)[O-])cc2)C(=O)O1
CHEMBL52722,O=C(O)c1cccc(N2C(=O)CCC2=O)c1
CHEMBL45014,CC(=O)c1ccc(N2CC(C)OC2=O)cc1
CHEMBL10887,COC(=O)/C=C/CNC(=O)c1ccccc1
CHEMBL294697,Cc1cc(C)c2c(c1)NC(C(=O)O)CC2=O
CHEMBL9486,C=CCN(C)/N=N/c1ccc(C(=O)O)cc1
CHEMBL41666,CCC1(c2ccccc2)OC(=O)N(C)C1=O
