Derivation Graph Computation Time for Each Molecule
====================================================

Legend:
- Time in seconds: Full computation completed
- error: Error occurred during processing
- skipped: Processing was skipped (dumps already existed)
- unknown: Status could not be determined from log files

Note: This analysis prioritizes actual computation times over skipped runs.
When multiple log files exist for a molecule, the completed run is preferred.

Molecule Name                          | SMILES                                 | Time (seconds)
guanine                                | C1=NC2=C(N=CN2)C(=O)N1                 | 97.22
guanosine                              |                                        | error
guanosine_monophosphate                |                                        | error
heme                                   |                                        | error
heptane                                | CCCCCCC                                | 7.80
hexamethylcyclotrisiloxane             | C[Si](O[Si](C)(C)C)(C)C                | 7.97
hexamethyldisilazane                   | C[Si](C)(C)N[Si](C)(C)C                | 166.30
hexane                                 | CCCCCC                                 | 7.65
histamine                              | C1=C(NC=N1)CCN                         | 97.20
hydrogen_sulfide                       | [H][S][H]                              | 13.03
insulin                                |                                        | error
iodoform                               | CI(I)(I)I                              | 7.26
isobutene                              | CC(=C)C                                | 8.42
isoleucine                             |                                        | 7.15
isoquinoline                           | C1=CC=NC2=CC=CC=C12                    | 3183.84
lactate                                | CC(O)C(=O)[O-]                         | 28.53
lauric_acid                            | CCCCCCCCCCCC(=O)O                      | error
leucine                                | CC(C)CC(N)C(=O)O                       | 8.03
leukotriene_b4                         |                                        | error
limonene                               | CC1=CCC(CC1)C(=C)C                     | error
linoleic_acid                          | CCC=CCC=CCCCCCCCC(=O)O                 | error
lipoic_acid                            |                                        | error
lycopene                               |                                        | error
lysine                                 | NCCCC(N)C(=O)O                         | 8.16
malate                                 |                                        | error
maleic_acid                            | OC(=O)C=CC(=O)O                        | 8.04
maltose                                | OC[C@H]1O[C@@H](O[C@H]2OC(CO)C(O)C(O)C2O)[C@H](O)[C@H](O)[C@H]1O | 300337.00
mannose                                | OC[C@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@H]1O | error
melatonin                              | CC(=O)NCCC1=CNc2cc(O)ccc12             | error
menthol                                |                                        | error
methane                                | C                                      | 8.12
methanol                               | CO                                     | 19.53
methionine                             |                                        | error
methyl_acetate                         | CC(=O)OC                               | 8.07
methyl_formate                         | COC=O                                  | 7.91
morphine                               |                                        | error
myristic_acid                          | CCCCCCCCCCCCCC(=O)O                    | error
naphthalene                            | C1=CC=C2C=CC=CC2=C1                    | 2452.17
nicotinamide                           | N1C=CC(=O)C=C1N                        | 28.53
nicotinamide_adenine_dinucleotide      |                                        | error
nicotinamide_adenine_dinucleotide_phosphate |                                        | error
nicotine                               |                                        | error
nitric_oxide                           | [N]=O                                  | 13.02
nitrobenzene                           | C1=CC=C(C=C1)[N+](=O)[O-]              | 7.14
nitromethane                           | C[N+](=O)[O-]                          | 9.06
nonane                                 | CCCCCCCCC                              | 7.78
norepinephrine                         |                                        | error
octane                                 | CCCCCCCC                               | 7.46
octopamine                             | CC(CO)C1=CC=CC=C1                      | error
oleic_acid                             | CCCCCCC=CCCCCCCCC(=O)O                 | error
oxalic_acid                            | OC(=O)C(=O)O                           | 8.04
oxaloacetate                           |                                        | error
oxytocin                               |                                        | error
palmitic_acid                          | CCCCCCCCCCCCCCCC(=O)O                  | error
penicillin_g                           |                                        | error
pentane                                | CCCCC                                  | 7.83
phenol                                 | C1=CC=C(C=C1)O                         | 65259.00
phenylalanine                          | NC(Cc1ccccc1)C(=O)O                    | error
piperidine                             | C1CCNCC1                               | 10.08
platelet_activating_factor             |                                        | error
progesterone                           | CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34)C | error
proline                                | C1CC(NC1)C(=O)O                        | 6.57
propane                                | CCC                                    | 7.82
propene                                | CC=C                                   | 7.56
propionaldehyde                        | CCC=O                                  | 8.31
propionic_acid                         | CCC(=O)O                               | 7.93
propyl_formate                         | CCCOC=O                                | 7.98
propyne                                | CC#C                                   | 7.99
prostaglandin_e2                       |                                        | error
putrescine                             | NCCCCN                                 | 97.20
pyridine                               | C1=CC=NC=C1                            | 9.44
pyridoxal_phosphate                    |                                        | error
pyrrole                                | C1=CN=CC1                              | 7.51
pyruvate                               |                                        | error
quercetin                              |                                        | error
quinine                                |                                        | error
quinoline                              | C1=CC=CC2=NC=CC=C12                    | 330.07
resorcinol                             | C1=CC(=CC(=C1)O)O                      | 8.03
resveratrol                            |                                        | error
riboflavin                             | C1=CC(=O)N=C2N=C(N)C(=O)C=C2N1C1C(C(C(O1)CO)O)O | 5569.00
ribose                                 | OC[C@H]1O[C@@H](O)[C@H](O)[C@@H]1O     | error
rifampicin                             |                                        | error
salicylic_acid                         | C1=CC=C(C=C1C(=O)O)O                   | error
scopolamine                            | C1C2CC3OC(C(O)C3C2)C1OC(=O)C4=CC=CC=C4 | 54011.00
serine                                 | NCC(O)C(=O)O                           | 127.69
serotonin                              |                                        | error
serotonin_sulfate                      |                                        | error
silane                                 | [SiH4]                                 | 7.92
spermidine                             |                                        | error
spermine                               | NCCCNCCCCNCCC(N)N                      | error
squalene                               |                                        | error
stearic_acid                           | CCCCCCCCCCCCCCCCCC(=O)O                | error
streptomycin                           |                                        | error
strychnine                             |                                        | error
styrene                                | C=CC1=CC=CC=C1                         | 1068.42
succinate                              |                                        | 9733.00
succinic_acid                          | C(CC(=O)O)C(=O)O                       | 7.77
sucrose                                | OC[C@H]1OC(O[C@H]2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O | error
tannic_acid                            |                                        | error
taurine                                | NCCS(=O)(=O)O                          | 97.20
taxol                                  |                                        | error
testosterone                           | CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34    | error
tetrachloroethylene                    | C(Cl)=C(Cl)C(Cl)=C(Cl)                 | 9.73
tetrahydrofuran                        | C1CCCO1                                | 7.99
theobromine                            | CN1C=NC2=C1C(=O)N(C(=O)N2)C            | 32.59
theophylline                           |                                        | error
thiamine                               |                                        | error
thiophene                              | C1=CSC=C1                              | 7.42
threonine                              | CC(O)C(N)C(=O)O                        | 8.22
thymidine                              | CC1=CN=C(N)NC1=O[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O | 7333.00
thymine                                | CC1=CN=C(N)NC1=O                       | 97.20
thyroxine                              |                                        | error
toluene                                | CC1=CC=CC=C1                           | 8.46
trichloroethylene                      | C(Cl)=C(Cl)Cl                          | 9.73
triiodothyronine                       |                                        | error
trimethylsilane                        | C[Si](C)C                              | 7.84
tryptamine                             | C1=CC=C2C(=C1)C(=CN2)CCN               | 97.23
tryptophan                             | NC(Cc1c[nH]c2ccccc12)C(=O)O            | error
tyramine                               | CC1=CC=C(C=C1)O                        | error
tyrosine                               | NC(Cc1ccc(O)cc1)C(=O)O                 | error
ubiquinone_10                          |                                        | error
uracil                                 | O=C1NC=CC(=O)N1                        | 97.22
urea                                   | NC(=O)N                                | 7.91
uridine                                | O=C1NC=CC(=O)N1[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O | error
uridine_monophosphate                  |                                        | error
valeric_acid                           | CCCCC(=O)O                             | error
valine                                 |                                        | 8.37
vanillin                               | COC1=CC(=CC=C1O)C=O                    | error
vasopressin                            |                                        | error
xylene                                 |                                        | error

Statistics:
---------------------------------------|----------------------------------------|---------------
Total molecules analyzed: 257
Molecules with successful computations: 127
Molecules with errors: 126
Molecules with unknown status: 4

Computation Time Statistics:
Fastest: 6.56 seconds (chloroform)
Slowest: 778939.00 seconds ≈ 216.4 hours ≈ 9.0 days (ascorbic_acid)

Top 10 longest computations:
1. ascorbic_acid: 778939.00 s (9.0 days)
2. maltose: 300337.00 s (3.5 days)
3. catechol: 230736.00 s (2.7 days)
4. citral: 87314.00 s (1.0 days)
5. dopamine: 80696.00 s (0.9 days)
6. phenol: 65259.00 s (0.8 days)
7. scopolamine: 54011.00 s (0.6 days)
8. anthracene: 18209.00 s (5.1 hours)
9. biotin: 13636.00 s (3.8 hours)
10. atropine: 12966.00 s (3.6 hours)

Top 10 fastest completions (excluding errors):
1. chloroform: 6.56 s
2. proline: 6.57 s
3. dichloromethane: 6.58 s
4. dimethyl_sulfide: 6.89 s
5. ethyne: 7.09 s
6. acetonitrile: 7.13 s
7. nitrobenzene: 7.14 s
8. isoleucine: 7.15 s
9. formic_acid: 7.20 s
10. bromoethane: 7.21 s

